"year","checkouts"
"1970","3"
"1992","0"
"1991","1"
"1978","3"
"2016","1"
"1949","2"
"2007","0"
"2007","1"
"1973","1"
"1940","0"
"2005","1"
"1985","0"
"1940","0"
"1993","1"
"1968","2"
"1993","1"
"1986","0"
"1970","11"
"1998","2"
"2015","1"
"2005","1"
"1939","0"
"1991","0"
"1970","5"
"1986","0"
"1977","2"
"1974","6"
"2002","1"
"2010","3"
"2013","1"
"2015","1"
"2014","3"
"2012","0"
"2000","2"
"2003","1"
"2008","1"
"2001","8"
"2006","0"
"2005","1"
"2005","1"
"2007","0"
"2002","0"
"1990","1"
"1987","1"
"1983","4"
"1982","5"
"1982","7"
"1993","4"
"1988","0"
"1990","1"
"1981","0"
"1998","4"
"1988","2"
"1992","2"
"1980","0"
"1993","8"
"1980","0"
"1996","0"
"1981","1"
"1990","1"
"1989","4"
"1991","1"
"1978","1"
"1971","2"
"1991","2"
"1981","0"
"2006","3"
"1956","4"
"1965","0"
"1988","0"
"1983","3"
"1982","4"
"2005","1"
"1999","0"
"2017","0"
"2009","1"
"1976","2"
"1960","0"
"1986","1"
"1989","0"
"1967","0"
"2000","2"
"2016","0"
"1997","1"
"1979","0"
"2013","0"
"1980","0"
"1972","3"
"1973","4"
"1951","5"
"1976","1"
"1975","3"
"2014","0"
"1975","3"
"1984","1"
"2013","1"
"1985","4"
"1982","2"
"1965","1"
"2004","2"
"1986","4"
"2001","1"
"1984","1"
"2001","3"
"2008","1"
"2001","11"
"2015","1"
"1976","4"
"1946","0"
"1983","1"
"1988","0"
"2008","2"
"1986","0"
"1990","0"
"2005","0"
"1983","0"
"1957","0"
"2009","3"
"1951","0"
"1988","1"
"1983","0"
"1972","15"
"1981","0"
"1984","0"
"1960","1"
"1990","2"
"2008","2"
"1969","0"
"2003","0"
"2009","2"
"2015","0"
"1973","0"
"1992","0"
"1984","0"
"1999","2"
"1972","0"
"1963","1"
"1949","1"
"2010","0"
"1993","0"
"1982","0"
"2000","4"
"2005","6"
"2013","1"
"2005","1"
"2002","2"
"1970","3"
"1975","3"
"1977","2"
"1973","0"
"2002","2"
"1998","2"
"2008","1"
"2009","2"
"1999","1"
"1960","0"
"1968","4"
"2000","0"
"2010","3"
"2010","1"
"1987","0"
"1963","0"
"1990","8"
"1996","2"
"2016","0"
"1996","1"
"1959","1"
"1980","0"
"2011","3"
"1977","0"
"1968","0"
"1993","0"
"1935","0"
"1991","2"
"1972","1"
"2011","0"
"1962","0"
"2003","2"
"1985","4"
"1993","0"
"1952","0"
"1970","2"
"1989","0"
"1983","0"
"1987","5"
"2015","0"
"1940","2"
"1938","1"
"1980","0"
"1978","4"
"2001","2"
"2012","0"
"1992","0"
"2015","0"
"1953","0"
"1933","0"
"1952","1"
"1955","0"
"1964","0"
"1964","0"
"1954","1"
"1941","0"
"1936","0"
"1947","1"
"1961","0"
"1977","3"
"2001","5"
"1989","0"
"1999","1"
"1973","4"
"2010","3"
"2004","2"
"1982","1"
"2012","0"
"2005","0"
"2015","0"
"1988","2"
"1996","6"
"1964","1"
"1991","2"
"2010","1"
"1979","2"
"2001","2"
"1999","3"
"2005","7"
"1982","1"
"1993","4"
"1946","0"
"1995","4"
"2002","2"
"2010","1"
"1992","3"
"1939","0"
"2009","3"
"2009","1"
"1951","0"
"2006","0"
"2012","2"
"1970","4"
"1985","3"
"2016","0"
"2004","3"
"1990","2"
"1998","1"
"2000","2"
"2008","3"
"1997","1"
"1978","7"
"2004","1"
"1993","3"
"2010","3"
"1991","6"
"1997","2"
"2012","0"
"1948","0"
"1972","2"
"1988","4"
"1984","1"
"1967","0"
"1969","1"
"1945","5"
"1991","0"
"2015","0"
"1991","0"
"2006","1"
"2013","8"
"1972","0"
"2016","0"
"2011","2"
"1986","2"
"1978","16"
"2009","2"
"1964","1"
"1959","3"
"2011","0"
"1991","5"
"2011","0"
"2005","5"
"2000","4"
"2012","0"
"2006","3"
"1925","0"
"2004","1"
"1972","2"
"1987","0"
"1962","0"
"1977","4"
"1960","1"
"1987","2"
"1988","1"
"1993","0"
"1950","0"
"2003","2"
"1995","2"
"1995","4"
"2006","4"
"1970","1"
"2012","1"
"2014","0"
"2003","2"
"1999","0"
"1926","0"
"2004","2"
"1992","5"
"2003","1"
"2015","1"
"1990","8"
"1999","9"
"2012","8"
"1990","1"
"1959","2"
"2012","1"
"2008","1"
"1996","1"
"2011","0"
"2001","4"
"1972","1"
"1966","4"
"2009","1"
"1988","2"
"1972","0"
"1999","5"
"2000","0"
"1954","0"
"1964","0"
"1993","5"
"1979","0"
"1995","7"
"2002","0"
"1992","2"
"1998","2"
"2015","0"
"2004","0"
"1960","0"
"1993","0"
"2009","1"
"2010","0"
"2015","2"
"2000","4"
